kind,seed,panel,unit_row,column,lap,phase_bin,value
trained,2,globalnorm,1,127,4,7,-0.52611
trained,2,globalnorm,1,128,4,8,-0.5048
trained,2,globalnorm,1,129,4,9,-0.483
trained,2,globalnorm,1,130,4,10,-0.4488
trained,2,globalnorm,1,131,4,11,-0.4248
trained,2,globalnorm,1,132,4,12,-0.42992
trained,2,globalnorm,1,133,4,13,-0.44772
trained,2,globalnorm,1,134,4,14,-0.4377
trained,2,globalnorm,1,135,4,15,-0.40975
trained,2,globalnorm,1,136,4,16,-0.40962
trained,2,globalnorm,1,137,4,17,-0.40397
trained,2,globalnorm,1,138,4,18,-0.41251
trained,2,globalnorm,1,139,4,19,-0.44352
trained,2,globalnorm,1,140,4,20,-0.45767
trained,2,globalnorm,1,141,4,21,-0.46022
trained,2,globalnorm,1,142,4,22,-0.46233
trained,2,globalnorm,1,143,4,23,-0.46399
trained,2,globalnorm,1,144,4,24,-0.45027
trained,2,globalnorm,1,145,4,25,-0.44867
trained,2,globalnorm,1,146,4,26,-0.43984
trained,2,globalnorm,1,147,4,27,-0.43342
trained,2,globalnorm,1,148,4,28,-0.43547
trained,2,globalnorm,1,149,4,29,-0.44015
trained,2,globalnorm,1,150,4,30,-0.47364
trained,2,globalnorm,1,151,4,31,-0.49316
trained,2,globalnorm,1,152,4,32,-0.49998
trained,2,globalnorm,1,153,4,33,-0.5241
trained,2,globalnorm,1,154,4,34,-0.55739
trained,2,globalnorm,1,155,4,35,-0.58731
trained,2,globalnorm,1,156,4,36,-0.60913
trained,2,globalnorm,1,157,4,37,-0.60839
trained,2,globalnorm,1,158,4,38,-0.61863
trained,2,globalnorm,1,159,4,39,-0.49582
trained,2,globalnorm,2,0,1,0,1.0
trained,2,globalnorm,2,1,1,1,0.99994
trained,2,globalnorm,2,2,1,2,0.99948
trained,2,globalnorm,2,3,1,3,0.99858
trained,2,globalnorm,2,4,1,4,0.99744
trained,2,globalnorm,2,5,1,5,0.99587
trained,2,globalnorm,2,6,1,6,0.99407
trained,2,globalnorm,2,7,1,7,0.99193
trained,2,globalnorm,2,8,1,8,0.98866
trained,2,globalnorm,2,9,1,9,0.98547
trained,2,globalnorm,2,10,1,10,0.98231
trained,2,globalnorm,2,11,1,11,0.97843
trained,2,globalnorm,2,12,1,12,0.9749
trained,2,globalnorm,2,13,1,13,0.9707
trained,2,globalnorm,2,14,1,14,0.96616
trained,2,globalnorm,2,15,1,15,0.96146
trained,2,globalnorm,2,16,1,16,0.95673
trained,2,globalnorm,2,17,1,17,0.95189
trained,2,globalnorm,2,18,1,18,0.94533
trained,2,globalnorm,2,19,1,19,0.93905
trained,2,globalnorm,2,20,1,20,0.93302
trained,2,globalnorm,2,21,1,21,0.92676
trained,2,globalnorm,2,22,1,22,0.91965
trained,2,globalnorm,2,23,1,23,0.91247
trained,2,globalnorm,2,24,1,24,0.90567
trained,2,globalnorm,2,25,1,25,0.89889
trained,2,globalnorm,2,26,1,26,0.89214
trained,2,globalnorm,2,27,1,27,0.88462
trained,2,globalnorm,2,28,1,28,0.87524
trained,2,globalnorm,2,29,1,29,0.86517
trained,2,globalnorm,2,30,1,30,0.85625
trained,2,globalnorm,2,31,1,31,0.84696
trained,2,globalnorm,2,32,1,32,0.83555
trained,2,globalnorm,2,33,1,33,0.81976
trained,2,globalnorm,2,34,1,34,0.80709
trained,2,globalnorm,2,35,1,35,0.79811
trained,2,globalnorm,2,36,1,36,0.78772
trained,2,globalnorm,2,37,1,37,0.77752
trained,2,globalnorm,2,38,1,38,0.76619
trained,2,globalnorm,2,39,1,39,0.75688
trained,2,globalnorm,2,40,2,0,0.74344
trained,2,globalnorm,2,41,2,1,0.73857
trained,2,globalnorm,2,42,2,2,0.72935
trained,2,globalnorm,2,43,2,3,0.71787
trained,2,globalnorm,2,44,2,4,0.70727
trained,2,globalnorm,2,45,2,5,0.69518
trained,2,globalnorm,2,46,2,6,0.68079
trained,2,globalnorm,2,47,2,7,0.66788
trained,2,globalnorm,2,48,2,8,0.65557
trained,2,globalnorm,2,49,2,9,0.64214
trained,2,globalnorm,2,50,2,10,0.62706
trained,2,globalnorm,2,51,2,11,0.61182
trained,2,globalnorm,2,52,2,12,0.59845
trained,2,globalnorm,2,53,2,13,0.58549
trained,2,globalnorm,2,54,2,14,0.57203
trained,2,globalnorm,2,55,2,15,0.55828
trained,2,globalnorm,2,56,2,16,0.54544
trained,2,globalnorm,2,57,2,17,0.53072
trained,2,globalnorm,2,58,2,18,0.5154
trained,2,globalnorm,2,59,2,19,0.50058
trained,2,globalnorm,2,60,2,20,0.48397
trained,2,globalnorm,2,61,2,21,0.46713
trained,2,globalnorm,2,62,2,22,0.45148
trained,2,globalnorm,2,63,2,23,0.43705
trained,2,globalnorm,2,64,2,24,0.41917
trained,2,globalnorm,2,65,2,25,0.39469
trained,2,globalnorm,2,66,2,26,0.37252
trained,2,globalnorm,2,67,2,27,0.35556
trained,2,globalnorm,2,68,2,28,0.33737
trained,2,globalnorm,2,69,2,29,0.321
trained,2,globalnorm,2,70,2,30,0.30579
