D_train,D_test,ratio,mode,phase,base_seed,acc_pct_mean_over_retime_seeds,n_retime_seeds
30,100,3.3333,rand_complex,recovery,72,62.467,3
30,100,3.3333,rand_complex,transfer,1,38.333,3
30,100,3.3333,rand_complex,transfer,2,40.533,3
30,100,3.3333,rand_complex,transfer,3,34.567,3
30,100,3.3333,rand_complex,transfer,4,34.817,3
30,100,3.3333,rand_complex,transfer,5,35.383,3
30,100,3.3333,rand_complex,transfer,6,44.067,3
30,100,3.3333,rand_complex,transfer,7,37.9,3
30,100,3.3333,rand_complex,transfer,8,45.567,3
30,100,3.3333,rand_complex,transfer,9,34.8,3
30,100,3.3333,rand_complex,transfer,72,37.75,3
30,110,3.6667,hippo,recovery,1,52.317,3
30,110,3.6667,hippo,recovery,2,72.15,3
30,110,3.6667,hippo,recovery,3,53.95,3
30,110,3.6667,hippo,recovery,4,64.617,3
30,110,3.6667,hippo,recovery,5,70.833,3
30,110,3.6667,hippo,recovery,6,74.583,3
30,110,3.6667,hippo,recovery,7,55.633,3
30,110,3.6667,hippo,recovery,8,73.633,3
30,110,3.6667,hippo,recovery,9,73.7,3
30,110,3.6667,hippo,recovery,72,74.967,3
30,110,3.6667,hippo,transfer,1,33.9,3
30,110,3.6667,hippo,transfer,2,57.05,3
30,110,3.6667,hippo,transfer,3,46.683,3
30,110,3.6667,hippo,transfer,4,48.617,3
30,110,3.6667,hippo,transfer,5,42.5,3
30,110,3.6667,hippo,transfer,6,73.55,3
30,110,3.6667,hippo,transfer,7,48.0,3
30,110,3.6667,hippo,transfer,8,44.083,3
30,110,3.6667,hippo,transfer,9,63.1,3
30,110,3.6667,hippo,transfer,72,53.6,3
30,110,3.6667,rand_complex,recovery,1,62.733,3
30,110,3.6667,rand_complex,recovery,2,54.55,3
30,110,3.6667,rand_complex,recovery,3,44.667,3
30,110,3.6667,rand_complex,recovery,4,33.467,3
30,110,3.6667,rand_complex,recovery,5,52.4,3
30,110,3.6667,rand_complex,recovery,6,58.667,3
30,110,3.6667,rand_complex,recovery,7,56.333,3
30,110,3.6667,rand_complex,recovery,8,65.95,3
30,110,3.6667,rand_complex,recovery,9,41.783,3
30,110,3.6667,rand_complex,recovery,72,58.717,3
30,110,3.6667,rand_complex,transfer,1,36.85,3
30,110,3.6667,rand_complex,transfer,2,38.283,3
30,110,3.6667,rand_complex,transfer,3,34.45,3
30,110,3.6667,rand_complex,transfer,4,34.25,3
30,110,3.6667,rand_complex,transfer,5,34.633,3
30,110,3.6667,rand_complex,transfer,6,39.083,3
30,110,3.6667,rand_complex,transfer,7,37.233,3
30,110,3.6667,rand_complex,transfer,8,42.4,3
30,110,3.6667,rand_complex,transfer,9,34.417,3
30,110,3.6667,rand_complex,transfer,72,36.833,3
30,120,4.0,hippo,recovery,1,43.25,3
30,120,4.0,hippo,recovery,2,71.917,3
30,120,4.0,hippo,recovery,3,49.333,3
30,120,4.0,hippo,recovery,4,61.683,3
30,120,4.0,hippo,recovery,5,71.35,3
30,120,4.0,hippo,recovery,6,74.017,3
30,120,4.0,hippo,recovery,7,56.167,3
30,120,4.0,hippo,recovery,8,70.667,3
30,120,4.0,hippo,recovery,9,68.9,3
30,120,4.0,hippo,recovery,72,74.217,3
30,120,4.0,hippo,transfer,1,33.617,3
30,120,4.0,hippo,transfer,2,55.133,3
30,120,4.0,hippo,transfer,3,44.75,3
30,120,4.0,hippo,transfer,4,47.267,3
30,120,4.0,hippo,transfer,5,35.817,3
30,120,4.0,hippo,transfer,6,73.783,3
30,120,4.0,hippo,transfer,7,43.0,3
30,120,4.0,hippo,transfer,8,39.483,3
30,120,4.0,hippo,transfer,9,58.817,3
30,120,4.0,hippo,transfer,72,59.417,3
30,120,4.0,rand_complex,recovery,1,61.733,3
30,120,4.0,rand_complex,recovery,2,52.333,3
30,120,4.0,rand_complex,recovery,3,39.1,3
30,120,4.0,rand_complex,recovery,4,33.317,3
30,120,4.0,rand_complex,recovery,5,47.6,3
30,120,4.0,rand_complex,recovery,6,48.35,3
30,120,4.0,rand_complex,recovery,7,59.167,3
30,120,4.0,rand_complex,recovery,8,59.017,3
30,120,4.0,rand_complex,recovery,9,40.0,3
