kind,projection,split,lap,dim1,dim2
trained,lda,train,3,-5.3994486001659565,-1.2024329070879325
trained,lda,train,2,3.8437355832860924,-1.1765689107823516
trained,lda,train,2,3.8063292388203358,-0.68355640560580988
trained,lda,train,2,3.5972216222869684,1.4710091607371867
trained,lda,train,1,12.073289015876876,1.738722236151478
trained,lda,train,3,-4.6814532917665597,0.67846209718897577
trained,lda,train,2,3.3280475392399116,-1.2174335475453386
trained,lda,train,4,-13.031437716917141,0.64895421571983147
trained,lda,train,2,3.3333243658163498,-0.56050344410801245
trained,lda,train,3,-4.4126667989635759,0.38879671282633954
trained,lda,train,2,3.4493473554212319,0.36182798003687855
trained,lda,train,3,-5.5615406983314948,-1.8389472172877175
trained,lda,train,3,-3.8105576888402273,0.91755722515540239
trained,lda,train,2,3.1681150897067782,0.83759225831156636
trained,lda,train,2,3.4115436238668093,0.093898746162201618
trained,lda,train,2,3.2238267235040734,1.3468338819835359
trained,lda,train,2,3.2456517941147798,-1.16281141252298
trained,lda,train,3,-4.417684404920009,1.0893236128254198
trained,lda,train,3,-4.1405199359901639,-0.093336735201367427
trained,lda,train,3,-5.2645105027494994,-1.2996642149456388
trained,lda,train,3,-4.8183328575100965,-0.29198389186633422
trained,lda,train,2,4.0619106287155562,0.91873448277327274
trained,lda,train,2,3.2776658107319774,-1.1986420652254213
trained,lda,train,4,-13.358126824179251,-0.43184288095024664
trained,lda,train,3,-4.805539062145642,1.2420650198457464
trained,lda,train,2,3.5921375995996128,0.45448540947650456
trained,lda,train,2,3.3084479235047564,-0.75701158595514906
trained,lda,train,2,3.6139137759330269,0.24262054340914052
trained,lda,train,2,4.4938416796891136,1.9870221046743024
trained,lda,train,2,3.2501009347239398,-0.88613109129908874
trained,lda,train,2,3.7374245301670448,-1.3968761828744258
trained,lda,train,3,-3.733539719259463,-0.16728924290197111
trained,lda,train,2,3.6231105268123458,-1.0316822979554419
trained,lda,train,2,3.4889607443149893,0.10843796362166669
trained,lda,train,2,3.3254157522530421,-0.43284019290877013
trained,lda,train,2,3.8094157062837253,-0.1901335451155115
trained,lda,train,3,-4.796810488402409,1.5734086835958387
trained,lda,train,3,-4.8528106859370199,-0.026118008225834956
trained,lda,train,2,3.2960291582095955,-1.2745115676694878
trained,lda,train,2,3.5438541032345414,1.3038039855403538
trained,lda,train,2,3.3921430346615078,-1.205205092860725
trained,lda,train,2,3.9511638603508699,-0.13705302366411096
trained,lda,train,3,-5.6194824603466769,-1.740124785100901
trained,lda,train,2,3.8205708286371749,-0.21117543170016109
trained,lda,train,3,-4.4524488133781199,-1.0104363113980599
trained,lda,train,2,3.618946314359301,-0.17639005270754846
trained,lda,train,2,3.7477338094646075,0.53054869454988152
trained,lda,train,2,3.2389945694472781,-1.1938776040262853
trained,lda,train,3,-4.9948635140590678,-1.5522804120085285
trained,lda,train,2,-3.0871591611168165,0.18310755255863323
trained,lda,train,2,3.4488548081299895,1.8863491386507825
trained,lda,train,2,3.1520957972099137,-1.1834276203621024
trained,lda,train,2,3.6752244736094837,-0.32469282934711902
trained,lda,train,2,3.1592330615263893,-1.4353671516411253
trained,lda,train,2,3.7441507636878439,0.088330101565318203
trained,lda,train,2,3.7190493057047962,0.88970905063198003
trained,lda,train,4,-12.557077083185904,2.3882744158403089
trained,lda,train,3,-4.63521571063281,0.95257874747126381
trained,lda,train,2,3.5534181451581319,1.0567324021969573
trained,lda,train,2,3.4877223672615005,-1.0163558158975439
trained,lda,train,3,-4.1646379098144282,0.14585314380302286
trained,lda,train,2,3.3959736144895576,-0.36801172691542666
trained,lda,train,2,3.462943968366857,1.2064445359966063
trained,lda,train,3,-4.5785425356076237,1.0858971361846614
trained,lda,train,2,3.2161220778766597,0.43945863282094816
trained,lda,train,2,4.230536132443576,-0.53112026760585829
trained,lda,train,2,3.8441939878391582,1.532535352225384
trained,lda,train,2,3.3780832670467791,0.31460136750316181
trained,lda,train,3,-5.0145171454754252,-0.6374954579415818
trained,lda,train,2,3.4466650492579176,-1.1656663382630676
trained,lda,train,2,3.758631246664093,0.98472228326449895
trained,lda,train,2,3.3338583871594913,-1.3917476818192238
trained,lda,train,3,-4.9969908059836143,1.3314636959546731
trained,lda,train,3,-4.3922884657259447,-0.34577106197315194
trained,lda,train,3,-5.6367800389701319,-0.54533133384847776
trained,lda,train,3,-4.0647307093592451,0.51493249576112721
trained,lda,train,4,-13.367447491191507,0.12220597369798709
trained,lda,train,2,3.717422289686831,1.8857396634686909
trained,lda,train,2,3.3998829353328062,-1.1031858017212928
trained,lda,train,3,-4.1884702050290548,2.0897232267165742
trained,lda,train,2,3.4234312147925543,-2.0009848632413272
trained,lda,train,2,3.3302375462503733,-1.3385996463992254
trained,lda,train,2,3.3937328118148953,-0.98977689901962074
trained,lda,train,2,4.4017749524266536,1.1376293864379297
trained,lda,train,2,3.6964409699954088,-0.50021522885217962
trained,lda,train,2,3.6544424651614564,-0.20574352905389701
trained,lda,train,1,11.985812200660924,0.21939328525917953
trained,lda,train,2,3.5421281368589987,-0.63334713187153691
trained,lda,train,2,4.1610784192913979,1.4752136712537831
trained,lda,train,3,-4.2104100692508073,-0.05832092841324308
trained,lda,train,3,-4.931523607682271,-1.6087650810033101
trained,lda,train,2,4.0557507315990193,-0.43510033444645008
trained,lda,train,2,3.7925079685974481,0.047741704053517527
trained,lda,train,2,3.0558336774063393,-0.69341209222550282
trained,lda,train,2,3.2616640824438128,1.0103817609045247
trained,lda,train,2,3.4894903975101985,-0.97915075157124964
