mode,phase,seed,sort,unit_rank,time_bin,peak_count,value
hippo,initial_d30,1,freq,8,17,1,-0.86777
hippo,initial_d30,1,freq,8,18,1,-0.91009
hippo,initial_d30,1,freq,8,19,1,-0.94432
hippo,initial_d30,1,freq,8,20,1,-0.97046
hippo,initial_d30,1,freq,8,21,1,-0.98845
hippo,initial_d30,1,freq,8,22,1,-0.99831
hippo,initial_d30,1,freq,8,23,1,-1.0
hippo,initial_d30,1,freq,8,24,1,-0.99354
hippo,initial_d30,1,freq,8,25,1,-0.97893
hippo,initial_d30,1,freq,8,26,1,-0.95621
hippo,initial_d30,1,freq,8,27,1,-0.92542
hippo,initial_d30,1,freq,8,28,1,-0.88659
hippo,initial_d30,1,freq,8,29,1,-0.83979
hippo,initial_d30,1,freq,9,0,2,1.0
hippo,initial_d30,1,freq,9,1,2,0.97437
hippo,initial_d30,1,freq,9,2,2,0.92034
hippo,initial_d30,1,freq,9,3,2,0.83957
hippo,initial_d30,1,freq,9,4,2,0.73447
hippo,initial_d30,1,freq,9,5,2,0.60814
hippo,initial_d30,1,freq,9,6,2,0.46429
hippo,initial_d30,1,freq,9,7,2,0.30712
hippo,initial_d30,1,freq,9,8,2,0.14121
hippo,initial_d30,1,freq,9,9,2,-0.02864
hippo,initial_d30,1,freq,9,10,2,-0.19753
hippo,initial_d30,1,freq,9,11,2,-0.36058
hippo,initial_d30,1,freq,9,12,2,-0.51311
hippo,initial_d30,1,freq,9,13,2,-0.65078
hippo,initial_d30,1,freq,9,14,2,-0.76964
hippo,initial_d30,1,freq,9,15,2,-0.86635
hippo,initial_d30,1,freq,9,16,2,-0.93817
hippo,initial_d30,1,freq,9,17,2,-0.98313
hippo,initial_d30,1,freq,9,18,2,-1.0
hippo,initial_d30,1,freq,9,19,2,-0.98839
hippo,initial_d30,1,freq,9,20,2,-0.94873
hippo,initial_d30,1,freq,9,21,2,-0.88225
hippo,initial_d30,1,freq,9,22,2,-0.79095
hippo,initial_d30,1,freq,9,23,2,-0.67753
